name,team,battingStyle,playingRole,bowlingStyle,description,image_link
Binod Bhandari ,Nepal,Right hand Bat,Wicketkeeper Batter,Right arm Bowler,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321700/321740.png"
Charlie Brennan,Jersey,Right hand Bat,,Right arm Medium fast,,
Charith Asalanka,Sri Lanka,Left hand Bat,Batting Allrounder,Right arm Offbreak,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/348500/348599.png"
Liuone Fereti,Samoa,,,,,
Beston Masauko,Malawi,Right hand Bat,,,,
Zeeshan Ali ,Hong Kong,Right hand Bat,Wicketkeeper Batter,,,
Kusal Mendis ,Sri Lanka,Right hand Bat,Wicketkeeper Batter,Legbreak,"Blessed with a compact technique, an aggressive impulse, and an iron resolve, Kusal Mendis rose rapidly through the age-group system, and quickly became one of the most promising young batsmen in the world. He had played only 16 first-class innings before he made his Test debut at the age of 20, and had hit only one first-class hundred before he made a maiden Test ton. That hundred - the 176 against Australia at Pallekele - was a match-flipping, series-defining knock, which given the fact no other batsman mustered more than 55 in the game, is one of the greatest ever Sri Lankan innings. Since then, Mendis has put together some impressive ODI innings as well, and has embedded himself in the Test top four. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319800/319866.png"
Zawar Farid,United Arab Emirates,Right hand Bat,Bowler,Right arm Medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/354900/354966.png"
Aoga Leutogi,Samoa,,,,,
Nelson Nhaduate,Mozambique,Right hand Bat,,,,
Vasu Pulibanti,Croatia,Right hand Bat,,Right arm Medium,,
Petero Cabebula,Fiji,Right hand Bat,,Right arm Medium,,
Yasim Murtaza,Hong Kong,Left hand Bat,Allrounder,Slow Left arm Orthodox,,
Imal Liyanage ,Qatar,Left hand Bat,,Right arm Medium fast,,
Uday Hathinjar,Cambodia,Right hand Bat,,Right arm Medium,,
Charles Perchard,Jersey,Right hand Bat,,Right arm Medium,,
Aiden Markram(c),South Africa,Right hand Bat,Opening Batter,Right arm Offbreak,"The first South Africa captain to win a World Cup, albeit at age-group level, Aiden Markram announced himself as champion material early. He led South Africa's Under-19s to World Cup glory in 2014 and was also their leading run-scorer and third overall. It took him another three years to break into the senior side, but when he did, he made an impact right away with 97, 143 and 125 in his first three Tests, at home against Bangladesh and Zimbabwe. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322067.png"
Usman Qadir,Pakistan,Left hand Bat,Bowler,Legbreak,"Son of Pakistan's best-known spinner, Abdul Qadir, Usman has an action not too different from his father. His leg-spin fetched him nine wickets against Zimbabwe Under-19, when he was the joint-highest wicket-taker, and was again successful against Bangladesh and Sri Lanka in the tri-series, where he grabbed six wickets at 12.83. His brother Sulaman Qadir also has played for Pakistan Under-19.
Cricinfo Staff, January 2010. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322200/322257.png"
Lucas Oluoch,Kenya,Right hand Bat,Bowler,Left arm Fast medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321300/321375.png"
Jonathan West,Gibraltar,Right hand Bat,,Right arm Medium,,
Amir Zaib,Portugal,Right hand Bat,,Right arm Medium fast,,
Muhammad Tanveer,Qatar,Right hand Bat,,Right arm Medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/366300/366309.png"
Romario Shepherd,West Indies,Right hand Bat,Bowling Allrounder,Right arm Fast medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322037.png"
Sitanisilao Toutai,Samoa,Right hand Bat,,Right arm Medium,,
Benjamin Ward,Jersey,Right hand Bat,,Legbreak,,
Matthew Faatea,Samoa,,,,,
Farruque Nhaduate ,Mozambique,Right hand Bat,,,,
Dasun Shanaka,Sri Lanka,Right hand Bat,Allrounder,Right arm Medium,"An explosive middle-order batsman, and steady right-arm seam bowler, Dasun Shanaka worked his way into Sri Lanka's T20 side through several seasons of good performances for Sinhalese Sports Club. Born and educated in Negombo, Shanaka made his T20 international debut against Pakistan in August 2015, but it wasn't until the following domestic season that he achieved wide acclaim. Batting at No. 4 in an AIA Premier T20 match against Saracens Sports Club, Shanaka struck a Sri Lankan record 16 sixes in an innings worth 123 from 46 balls. That wasn't even his biggest T20 score of the last week. He had hit 131 off 48 balls against Galle Cricket Club one week earlier.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/328000/328058.png"
Kagiso Rabada,South Africa,Left hand Bat,Bowler,Right arm Fast,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320300/320376.png"
Timezeen Rapi,Samoa,Right hand Bat,,Right arm Medium,,
Luke Jongwe,Zimbabwe,Right hand Bat,Allrounder,Right arm Fast medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/348500/348593.png"
Dominic Blampied,Jersey,Right hand Bat,,Legbreak,,
Vaseekaran Aritharan,Germany,Right hand Bat,,Right arm Medium,,
Delray Rawlins,Bermuda,Left hand Bat,Batting Allrounder,Slow Left arm Orthodox,"Delray Rawlins announced himself as a future star with a series of eye-catching innings in Sussex's T20 middle-order, and his clean hitting, useful fingerspin and superb fielding make him a desirable all-round package across formats. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321100/321109.png"
Delaimatuku Maraiwai,Fiji,Right hand Bat,,,,
Anique Uddin,Denmark,Right hand Bat,,Right arm Offbreak,,
Uala Kaisala ,Samoa,Right hand Bat,Wicketkeeper,,,
Alex Sawyer,Gibraltar,Right hand Bat,,Right arm Medium,,
Elliot Miles,Jersey,Right hand Bat,,Slow Left arm Orthodox,,
Riley Hekure,Papua New Guinea,Right hand Bat,Bowler,Right arm Medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321100/321158.png"
Omair Yousuf,Pakistan,Right hand Bat,Batter,,,
Shoriful Islam,,Left hand Bat,Bowler,Left arm Medium fast,"At 6ft three inches, Shoriful Islam became a left-arm pace sensation almost overnight, when he starred in Bangladesh's 2020 Under-19 World Cup triumph. He took nine wickets, but it was his aggression and pace in the knockout games against South Africa, New Zealand and (in the final against) India that stood out.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/323100/323175.png"
Rafiullah,Oman,Right hand Bat,,Right arm Medium,,
Filipe Cossa,Mozambique,Right hand Bat,,Right arm Medium,,
Chiemelie Udekwe,Nigeria,Right hand Bat,,Right arm Medium fast,,
James Barker,Luxembourg,Left hand Bat,,,,
Jamal Vira,Vanuatu,Right hand Bat,Wicketkeeper Batter,,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/379000/379021.png"
Shahid Wasif,Hong Kong,Right hand Bat,Middle order Batter,Right arm Offbreak,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321900/321905.png"
Mohammed Alamgir,Eswatini,Right hand Bat,,Right arm Offbreak,,
Bukhar Illikkal,Qatar,Left hand Bat,,Slow Left arm Orthodox,,
Edward Taylor,Chile,Right hand Bat,,Legbreak,,
Brian Corbin,Cayman Islands,Right hand Bat,,,,
Kassim Nassoro,Tanzania,Right hand Bat,,Right arm Offbreak,,
Rizwan Haider,Malaysia,Right hand Bat,Bowler,Left arm Medium,,
Andrew Mansale,Vanuatu,Right hand Bat,,Right arm Offbreak,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/379000/379017.png"
CP Rizwan(c),United Arab Emirates,Right hand Bat,Middle order Batter,Legbreak Googly,"Born in Kerala, Rizwan is a right-hand batter and legbreak bowler. As a youngster, he moved to the UAE with his family but returned to India for his studies, playing U-19 and U-23 cricket for Kerala. In 2014 he moved back to the UAE and made his ODI debut in January 2019 against Nepal. One week later, Rizwan made his T20I debut, and in 2022 was named the T20I captain.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320300/320320.png"
Wesley Landman,Eswatini,Right hand Bat,,Right arm Medium,,
Kashyap Prajapati,Oman,Right hand Bat,Top order Batter,Right arm Offbreak,,
Junaid Khan,Portugal,Right hand Bat,,Right arm Medium fast,,
Simpson Obed,Vanuatu,Right hand Bat,,Legbreak,,
Neil Mugabe,Kenya,Right hand Bat,,,,
Nilansh Keswani,United Arab Emirates,Left hand Bat,Allrounder,Slow Left arm Orthodox,,
Jordan Alegre,Philippines,Right hand Bat,,,,
Ahmed Patel,Panama,Right hand Bat,,Right arm Medium,,
Hujeifa Jangariya ,Eswatini,Right hand Bat,,,,
Ashwin Vinod,Switzerland,Right hand Bat,,Right arm Medium fast,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/341000/341085.png"
Fanyan Mughal,Malta,,,,,
Fareed Shius,Maldives,Right hand Bat,,,,
Navneet Dhaliwal,Canada,Right hand Bat,Middle order Batter,Right arm Medium fast,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321200/321280.png"
Collins Obuya,Kenya,Right hand Bat,Allrounder,Legbreak,"Collins Obuya hit the headlines as a legspinning allrounder in the 2003 World Cup during Kenya's astonishing march to the semi-finals, where he picked up 13 wickets at 28.76, including 5 for 24 in the victory over Sri Lanka at Nairobi. That won him a one-year contract with Warwickshire, but he failed to make any impression.  He missed his next chance on the big stage when appendicitis ruled him out of the 2004 Champions Trophy, and he then joined the players' strike which followed before heading to South Africa to play club cricket.  His continued to struggle with his bowling, and in November 2005 he went to Australia for five weeks to spend time with Terry Jenner in a bid to recapture it.  That failed, and Obuya had to develop his batting and he now plays as a specialist batsman and a very good fielder.
Martin Williamson February 2007
","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321300/321358.png"
Moeen Ali,England,Left hand Bat,Batting Allrounder,Right arm Offbreak,"Moeen Ali was tipped for the top long before he won his Test debut at the start of 2014. But, after building a reputation as an elegant batter, it was his offspin bowling that earned him the call-up when England were left reeling from the surprise retirement of Graeme Swann.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316557.png"
Muaviath Ganee,Maldives,Right hand Bat,Batter,Slow Left arm Orthodox,,
Camate Roposo,Mozambique,Right hand Bat,,Right arm Medium fast,,
Waqar Ul Hassan,Saudi Arabia,Left hand Bat,,Right arm Medium fast,,
Sherfane Rutherford,West Indies,Left hand Bat,Middle order Batter,Right arm Fast medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322100/322173.png"
Dane Mullen,Guernsey,Right hand Bat,,Right arm Medium,,
Ali Yalmaz,Hungary,Right hand Bat,,Right arm Medium fast,,
James Fitzgerald,Gibraltar,Right hand Bat,,Right arm Medium fast,,
Idriss Tchakou,Cameroon,Right hand Bat,,Right arm Medium fast,,
Hasan Mahmud,Bangladesh,Right hand Bat,Bowler,Right arm Fast medium,"Hasan Mahmud is one among a group of young pace bowlers who have given hope of a fast bowling uprising in Bangladesh, after decades of reliance on spin. Mahmud is still at a very early stage of his career, having just played a single T20I for Bangladesh, and earned a maiden call-up in the ODI side in January 2021, but already he has earned plenty of praise from Bangladesh's coaches for his ability to bowl fast, full and accurately. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/323100/323172.png"
Metuisela Beitaki ,Fiji,Left hand Bat,,,,
Tanzim Hasan Sakib,,Right hand Bat,Bowler,Right arm Medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/380200/380238.png"
Allan Douglas,Bermuda,Right hand Bat,,,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321100/321103.png"
Akhil Arjunan,Finland,Right hand Bat,,Legbreak,,
Shaheryar Butt,Belgium,Right hand Bat,Allrounder,Right arm Offbreak,,
Mustafizur Rahman,Bangladesh,Left hand Bat,Bowler,Left arm Fast medium,"Mustafizur Rahman is a left-arm pace bowler who came to Dhaka to try out for a fast-bowling camp in 2012, after he had impressed in an Under-17 tournament in Satkhira, some 300km from Dhaka. He got admitted to the BCB's pace foundation and soon caught the coaches' attention to make the Bangladesh Under-19 side for the 2014 World Cup. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319734.png"
Siraj Ullah Khadem,Portugal,Left hand Bat,,Slow Left arm Orthodox,,
Tre Manders,Bermuda,Right hand Bat,,,,
Nick Greenwood,Jersey,Right hand Bat,,,,
Satarut Rungrueang,Thailand,Right hand Bat,,,,
Ademola Onikoyi,Nigeria,Right hand Bat,,Legbreak,,
Sisanda Magala,South Africa,Right hand Bat,Bowler,Right arm Fast medium,"Celebrated as one of the best death bowlers in South Africa and with Dale Steyn as his biggest fan, Sisanda Magala has a good yorker, the ability to change his pace and keep his cool when matters are at their most tense. He is also known as an end-of-innings power-hitter with the kind of all-round qualities needed to succeed in the modern white-ball game. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/324200/324217.png"
Oliver Nightingale,Guernsey,Right hand Bat,Allrounder,Right arm Medium,,
Francisco Couana(c),Mozambique,Right hand Bat,,Right arm Medium,,
Sudeep Thakur,Romania,Left hand Bat,,Slow Left arm Orthodox,,
Sabaorish Ravichandran,Japan,Right hand Bat,Bowling Allrounder,Legbreak,,
Alishan Sharafu,United Arab Emirates,Right hand Bat,Opening Batter,Right arm Medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/351800/351852.png"
"Chaloemwong	Chatphaisan",Thailand,Right hand Bat,,Right arm Medium,,
Ankush Nanda,Luxembourg,Right hand Bat,,Right arm Medium fast,,
Mark SimpsonParker,Austria,Right hand Bat,,Right arm Medium,,
Aravind Mohan ,Finland,Right hand Bat,,Right arm Offbreak,,
Kinchit Shah,Hong Kong,Left hand Bat,Top order Batter,Right arm Offbreak,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321900/321900.png"
Salum Jumbe,Tanzania,Left hand Bat,,Right arm Medium fast,,
Aizaz Khan,Hong Kong,Right hand Bat,Allrounder,Right arm Medium fast,"At 16, medium-pace allrounder Aizaz Khan showed he had the temperament for the big leagues, scoring an unbeaten 30 off 25 balls from No. 9 and taking two wickets (and nearly defending two runs in the final over) against USA Under-19s as Hong Kong qualified for the 2010 U-19 World Cup. Over a year later, with Hong Kong needing 26 off the final two overs against Italy in the World Cricket League Division Three, he got them home with an eight-ball 24 that included three straight sixes. Three days later, Hong Kong went on to win the tournament. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321800/321897.png"
Jack Horrocks,Gibraltar,Right hand Bat,,Left arm Medium,,
Nopphon Senamontree(c),Thailand,Right hand Bat,,Slow Left arm Orthodox,,
Jaspreet Singh,Italy,Right hand Bat,,Right arm Fast medium,,
Bryan Zammitt,Gibraltar,,,,,
Mohamed Arief,Malaysia,Right hand Bat,,Right arm Medium,,
Matthew Stokes,Guernsey,Right hand Bat,,Right arm Medium,,
Chetan Suryawanshi ,Singapore,Right hand Bat,,,,
Huzaifa Mohammed,Philippines,Right hand Bat,,Right arm Offbreak,,
Haroon Arshad,Hong Kong,Right hand Bat,Bowling Allrounder,Right arm Medium,,
Simon Shalders,Chile,,,,,
Darren Wotu,Vanuatu,Right hand Bat,,Right arm Medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/379000/379020.png"
Justin Mosca,Italy,Left hand Bat,,,,
Dewald Brevis,South Africa,Right hand Bat,Batting Allrounder,Legbreak,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/335100/335134.png"
Kasun Rajitha,Sri Lanka,Right hand Bat,Bowler,Right arm Medium fast,"Virtually unheard of before 2015, the first inkling of right-arm seamer Kasun Rajitha's potential came during a three-dayer against the touring Indians in August of that year. He took 5 for 68 on a spicy Khettarama deck in that match, dismissing Shikhar Dhawan, Virat Kohli and Rohit Sharma in a single spell, before claiming Kohli's wicket in the second innings as well.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322900/322957.png"
Saqlain Arshad,Qatar,Right hand Bat,,Right arm Offbreak,,
Sorawat Desungnoen,Thailand,Right hand Bat,,Right arm Offbreak,,
Francoise Stoman,Portugal,,,,,
Junior Kaltapau,Vanuatu,Right hand Bat,,Right arm Offbreak,,
Sylvester Okpe(c),Nigeria,Right hand Bat,,Right arm Offbreak,,
Charles Trott,Bermuda,Left hand Bat,,Left arm Medium fast,,
Joao Hou,Mozambique,Right hand Bat,,Right arm Medium,,
Nopphon Senamontree,Thailand,Right hand Bat,,Slow Left arm Orthodox,,
Kapil Kumar,Philippines,Right hand Bat,,Right arm Fast,,
Sitanisilao Toutai(c),Samoa,Right hand Bat,,Right arm Medium,,
Roland Amah,Cameroon,Right hand Bat,,Right arm Offbreak,,
Kulbhushan Jadhav,Cameroon,Right hand Bat,,Right arm Medium,,
Samarth Bodha,Gibraltar,Right hand Bat,,Right arm Medium,,
Shoaib Khan,Oman,Right hand Bat,Batter,Right arm Medium,,
Richmond Baaleri,Ghana,Right hand Bat,,Right arm Offbreak,,
Rohan Mustafa,United Arab Emirates,Left hand Bat,Top order Batter,Right arm Offbreak,"Pakistan-born offspinning allrounder Rohan Mustafa moved to Sharjah when he was ten and enrolled in that emirate's cricket academy. Despite losing his father, one of his cricket mentors, five years later, he stuck with the game, and was picked for UAE Under-19s in 2007, the year he also made his List A debut.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316640.png"
Adam Martel,Guernsey,Right hand Bat,,Left arm Medium,,
Jassim Khan,Qatar,Right hand Bat,,Right arm Medium fast,,
Mancoba Jele,Eswatini,Right hand Bat,,Right arm Medium fast,,
Luqman Butt,Cambodia,Right hand Bat,,Right arm Medium fast,,
Kuldeep Gholiya ,Portugal,Right hand Bat,,,,
Suman Ghimire,Portugal,Right hand Bat,,Right arm Offbreak,,
Seru Tupou,Fiji,Left hand Bat,,Right arm Medium,,
Alfredo Puentes,Chile,,,,,
Paul Rarotoga,Samoa,Right hand Bat,,Right arm Medium,,
Surya Anand,Denmark,Right hand Bat,,Right arm Medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/373900/373920.png"
Nathan Ellis,Australia,Right hand Bat,Bowler,Right arm Fast medium,"Nathan Ellis has developed into one of Australia's leading T20 bowlers in a relatively short period of time. He is a short, skiddy quick with an excellent yorker and superb change of pace.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/329700/329711.png"
Delray Rawlins(c),Bermuda,Left hand Bat,Batting Allrounder,Slow Left arm Orthodox,"Delray Rawlins announced himself as a future star with a series of eye-catching innings in Sussex's T20 middle-order, and his clean hitting, useful fingerspin and superb fielding make him a desirable all-round package across formats. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321100/321109.png"
Maheesh Theekshana,Sri Lanka,Right hand Bat,Bowler,Right arm Offbreak,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/347800/347825.png"
Guido Angeletti,Argentina,Right hand Bat,,Right arm Medium,,
Matthew Forde,West Indies,Right hand Bat,Bowler,Right arm Medium,,
Magnus Kristensen,Denmark,,,,,
Ayaan Khan,Oman,Left hand Bat,Allrounder,Slow Left arm Orthodox,,
Bhanuka Rajapaksa,Sri Lanka,Left hand Bat,Top order Batter,Right arm Medium,"An attacking left-handed batsman, Bhanuka Rajapaksa was selected for the 2010 Under-19 World Cup in New Zealand as one of the team's key batsmen. He lived upto his reputation, by finishing the leading run-scorer for his country with 253 runs. He had an excellent tour of Australia with the U-19 team in 2009, smashing 154 off 111 balls in a one-dayer and ended the series as the leading run-getter. He compares his batting style to Adam Gilchrist. His other sporting interests include squash and swimming.  Cricinfo Staff January 2010","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/340300/340306.png"
Gareth Delany,Ireland,Right hand Bat,Batting Allrounder,Legbreak Googly,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319800/319872.png"
Muhammad Wafiq,Malaysia,Left hand Bat,,Left arm Medium fast,,
Shakeel Ahmed,Oman,Left hand Bat,Bowler,Slow Left arm Orthodox,,
Maene Tuilaepa,Samoa,,,,,
Ansh Tandon,United Arab Emirates,Left hand Bat,Batter,Legbreak,,
Abhijeet Ahuja(c),Hungary,Right hand Bat,,Right arm Medium,,
Mitchell Marsh(c),Australia,Right hand Bat,Allrounder,Right arm Medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316612.png"
Anthony Roe,Chile,,,,,
Mustafizur Rahman,,Left hand Bat,Bowler,Left arm Fast medium,"Mustafizur Rahman is a left-arm pace bowler who came to Dhaka to try out for a fast-bowling camp in 2012, after he had impressed in an Under-17 tournament in Satkhira, some 300km from Dhaka. He got admitted to the BCB's pace foundation and soon caught the coaches' attention to make the Bangladesh Under-19 side for the 2014 World Cup. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319734.png"
Gus Atkinson,England,Right hand Bat,Bowler,Right arm Fast medium,It may seem odd to talk of 2022 as a breakthrough year for Gus Atkinson given he only turned out for Surrey in four County Championship and six Vitality Blast matches. But there was evidently enough encouragement around his potential for the Desert Vipers to recruit him for the inaugural ILT20 at the start of 2023. ,
Hamid Shah,Denmark,Right hand Bat,,Right arm Offbreak,,
Bilal Hassan,Uganda,Right hand Bat,Bowler,Right arm Medium fast,,
Ravija Sandaruwan,Kuwait,Right hand Bat,Allrounder,Right arm Offbreak,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/342000/342086.gif"
Mehran Khan,Oman,Right hand Bat,Batter,Right arm Medium fast,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321700/321776.png"
Atif Rasheed,Finland,Right hand Bat,,Right arm Medium,,
Mohammad Nadeem,Oman,Right hand Bat,Allrounder,Right arm Medium fast,"Debuting as a 31-year-old in 2014 for his adopted country of Oman, Mohammad Nadeem took a while to get going, making his first half-century in international cricket shortly before his 36th birthday, against Hong Kong at the 2018 Asia Cup Qualifier in Malaysia. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321700/321777.png"
Amit Uniyal,Chile,Right hand Bat,,Right arm Offbreak,,
Anshy Rath,Hong Kong,Left hand Bat,Wicketkeeper Batter,Slow Left arm Orthodox,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321900/321903.png"
Narawit Nuntarach,Thailand,Right hand Bat,,Right arm Medium,,
Amal Rajeevan ,Tanzania,Right hand Bat,,,,
Raza Iqbal,Norway,Left hand Bat,,Slow Left arm Orthodox,,
Abdul Shakoor,Germany,Right hand Bat,,Right arm Offbreak,,
Lansana Lamin,Sierra Leone,Right hand Bat,,Right arm Fast medium,,
Anjar Tadarus,Indonesia,Right hand Bat,,Right arm Medium fast,,
Chanchai Pengkumta,Thailand,Right hand Bat,Allrounder,Right arm Medium,,
John Bartlett,Chile,Right hand Bat,,Right arm Medium fast,,
Abhijeet Ahuja,Hungary,Right hand Bat,,Right arm Medium,,
Kamau Leverock,Bermuda,Left hand Bat,,Right arm Medium fast,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321100/321116.png"
Cejay Outerbridge,Bermuda,Right hand Bat,,Left arm Fast medium,,
Sanchit Sharma,United Arab Emirates,Right hand Bat,Bowler,Right arm Medium,,
Arjun Mutreja,Singapore,Right hand Bat,,Right arm Offbreak,,
Aryansh Sharma ,United Arab Emirates,Right hand Bat,Wicketkeeper Batter,,,
Ravindra Jadeja,India,Left hand Bat,Allrounder,Slow Left arm Orthodox,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316600.png"
Arjun Vinod,Switzerland,,,,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/332200/332245.png"
Oliver Rowe,Argentina,Right hand Bat,,Right arm Medium,,
Iqbal Hossain,Austria,Right hand Bat,,Right arm Offbreak,,
Jordan OBrien,Finland,Right hand Bat,,Right arm Offbreak,,
Dasun Shanaka(c),Sri Lanka,Right hand Bat,Allrounder,Right arm Medium,"An explosive middle-order batsman, and steady right-arm seam bowler, Dasun Shanaka worked his way into Sri Lanka's T20 side through several seasons of good performances for Sinhalese Sports Club. Born and educated in Negombo, Shanaka made his T20 international debut against Pakistan in August 2015, but it wasn't until the following domestic season that he achieved wide acclaim. Batting at No. 4 in an AIA Premier T20 match against Saracens Sports Club, Shanaka struck a Sri Lankan record 16 sixes in an innings worth 123 from 46 balls. That wasn't even his biggest T20 score of the last week. He had hit 131 off 48 balls against Galle Cricket Club one week earlier.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/328000/328058.png"
Terryn Fray,Bermuda,Right hand Bat,Opening Batter,,"Like his favourite cricketer, Sachin Tendulkar, Terryn Fray is also a right-hand opening batsman in Bermuda's squad for the Under-19 World Cup in 2008. Fray, whose father also played for Bermuda, top scored for his country in the Americas U-19 qualifier in 2007 and was the tournament's third-highest run-scorer. Cricinfo staff February 2008","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321100/321130.png"
Rizwan Mahmood,Denmark,Right hand Bat,,,,
Pathum Nissanka,Sri Lanka,Right hand Bat,Top order Batter,,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/323000/323070.png"
Guillermo Aburto,Chile,Right hand Bat,,Right arm Medium fast,,
